country_id,year,month,type,date,source,candidate_1,party_1,votes1_1,votes2_1,vote_share1_1,vote_share2_1,e_votes_1,e_vote_share_1,candidate_2,party_2,votes1_2,votes2_2,vote_share1_2,vote_share2_2,e_votes_2,e_vote_share_2,candidate_3,party_3,votes1_3,votes2_3,vote_share1_3,vote_share2_3,e_votes_3,e_vote_share_3,candidate_4,party_4,votes1_4,votes2_4,vote_share1_4,vote_share2_4,e_votes_4,e_vote_share_4,candidate_5,party_5,votes1_5,votes2_5,vote_share1_5,vote_share2_5,e_votes_5,e_vote_share_5,candidate_6,party_6,votes1_6,votes2_6,vote_share1_6,vote_share2_6,e_votes_6,e_vote_share_6,candidate_7,party_7,votes1_7,votes2_7,vote_share1_7,vote_share2_7,e_votes_7,e_vote_share_7,candidate_8,party_8,votes1_8,votes2_8,vote_share1_8,vote_share2_8,e_votes_8,e_vote_share_8,candidate_9,party_9,votes1_9,votes2_9,vote_share1_9,vote_share2_9,e_votes_9,e_vote_share_9,candidate_10,party_10,votes1_10,votes2_10,vote_share1_10,vote_share2_10,e_votes_10,e_vote_share_10,candidate_11,party_11,votes1_11,votes2_11,vote_share1_11,vote_share2_11,e_votes_11,e_vote_share_11,candidate_12,party_12,votes1_12,votes2_12,vote_share1_12,vote_share2_12,e_votes_12,e_vote_share_12,candidate_13,party_13,votes1_13,votes2_13,vote_share1_13,vote_share2_13,e_votes_13,e_vote_share_13,candidate_14,party_14,votes1_14,votes2_14,vote_share1_14,vote_share2_14,e_votes_14,e_vote_share_14,candidate_15,party_15,votes1_15,votes2_15,vote_share1_15,vote_share2_15,e_votes_15,e_vote_share_15,candidate_16,party_16,votes1_16,votes2_16,vote_share1_16,vote_share2_16,e_votes_16,e_vote_share_16,candidate_17,party_17,votes1_17,votes2_17,vote_share1_17,vote_share2_17,e_votes_17,e_vote_share_17,candidate_18,party_18,votes1_18,votes2_18,vote_share1_18,vote_share2_18,e_votes_18,e_vote_share_18,candidate_19,party_19,votes1_19,votes2_19,vote_share1_19,vote_share2_19,e_votes_19,e_vote_share_19,candidate_20,party_20,votes1_20,votes2_20,vote_share1_20,vote_share2_20,e_votes_20,e_vote_share_20,candidate_21,party_21,votes1_21,votes2_21,vote_share1_21,vote_share2_21,e_votes_21,e_vote_share_21,candidate_22,party_22,votes1_22,votes2_22,vote_share1_22,vote_share2_22,e_votes_22,e_vote_share_22,candidate_23,party_23,votes1_23,votes2_23,vote_share1_23,vote_share2_23,e_votes_23,e_vote_share_23,candidate_24,party_24,votes1_24,votes2_24,vote_share1_24,vote_share2_24,e_votes_24,e_vote_share_24,candidate_25,party_25,votes1_25,votes2_25,vote_share1_25,vote_share2_25,e_votes_25,e_vote_share_25,candidate_26,party_26,votes1_26,votes2_26,vote_share1_26,vote_share2_26,e_votes_26,e_vote_share_26,candidate_27,party_27,votes1_27,votes2_27,vote_share1_27,vote_share2_27,e_votes_27,e_vote_share_27,candidate_28,party_28,votes1_28,votes2_28,vote_share1_28,vote_share2_28,e_votes_28,e_vote_share_28,candidate_29,party_29,votes1_29,votes2_29,vote_share1_29,vote_share2_29,e_votes_29,e_vote_share_29,candidate_30,party_30,votes1_30,votes2_30,vote_share1_30,vote_share2_30,e_votes_30,e_vote_share_30,candidate_31,party_31,votes1_31,votes2_31,vote_share1_31,vote_share2_31,e_votes_31,e_vote_share_31,candidate_32,party_32,votes1_32,votes2_32,vote_share1_32,vote_share2_32,e_votes_32,e_vote_share_32,candidate_33,party_33,votes1_33,votes2_33,vote_share1_33,vote_share2_33,e_votes_33,e_vote_share_33,candidate_34,party_34,votes1_34,votes2_34,vote_share1_34,vote_share2_34,e_votes_34,e_vote_share_34,candidate_35,party_35,votes1_35,votes2_35,vote_share1_35,vote_share2_35,e_votes_35,e_vote_share_35,candidate_36,party_36,votes1_36,votes2_36,vote_share1_36,vote_share2_36,e_votes_36,e_vote_share_36,candidate_37,party_37,votes1_37,votes2_37,vote_share1_37,vote_share2_37,e_votes_37,e_vote_share_37,candidate_38,party_38,votes1_38,votes2_38,vote_share1_38,vote_share2_38,e_votes_38,e_vote_share_38,candidate_39,party_39,votes1_39,votes2_39,vote_share1_39,vote_share2_39,e_votes_39,e_vote_share_39,flag_two_round,flag_inconsequential,flag_inconsequential_note,flag_coup,flag_plebiscite,flag_unopposed,flag_indirect
AFG,2014,,Presidential,2014-06-14,IFES,Ashraf Ghani Ahmadzai,Independent,2084547,4485888,31.56,56.44,,,Abdullah Abdullah,National Coalition of Afghanistan / Etelaf-e Milli.,2972141,3461639,45,43.56,,,Zalmai Rassoul,Independent,750997,,11.37,,,,Abdul Rasul Sayyaf,Independent,465207,,7.04,,,,Qutbuddin Hilal,Independent,181827,,2.75,,,,Gul Agha Sherzai,Independent,103636,,1.57,,,,Mohammad Daoud Sultanzoy,Independent,30685,,0,,,,Hedayat Amin Arsala,Independent,15506,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
MZM,2014,,Presidential,2014-10-15,IFES,Filipe Nyusi,Front for the Liberalization of Mozambique/Frente de Liberatacao de Mocambique (FRELIMO),2778497,,57.03,,,,Afonso Dhlakama,Mozambique National Resistance / Resistencia Nacional Mocambican (Renamo),1783382,,36.61,,,,Daviz Simango,Democratic Movement Of Mozambique (Movimento Democratico De Mocambique) (Mdm),309925,,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAL,2014,,Presidential,2014-03-09,IFES,Salvador Sanchez Ceren,Farabundo Marti National Liberation Front / Frente Farabundo Marti Para La Liberacion Nacional (Fmln),1315768,1496815,48.93,50.11,,,Norman Quijano,Nationalist Republican Alliance / Alianza Republicana Nacionalista (Arena),1047592,1489451,38.96,49.89,,,Antonio Saca,Grand Alliance for National Unity / Gran Alianza por la Unidad Nacional (GANA or UNIDAD),307603,,11.44,,,,Rene Rodriguez Hurtado,Salvadoran Progressive Party / Partido Salvadorena Progresista (Psp),11314,,0,,,,Oscar Lemus,Salvadoran Patriot Brotherhood / Fraternidad Patriota Salvadorena (Fps),6659,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
EGY,2014,,Presidential,2014-05-26,IFES,Abdel Fattah Al Sisi,Independent,23780104,,96.9,,,,Hamdeen Sabahi,Egyptian Popular Current,757511,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,2014,,Presidential,2014-11-28,AC,Hage Gottfried Geingob,SWAPO,772528,,86.7,,,,McHenry Mike K Venaani,DTA,44271,,5,,,,Hidipo Livius Hamutenya,RDP,30197,,3.4,,,,Asser Ferdinand Mbai,NUDO,16740,,1.9,,,,Henry Ferdinand Mudge,RP,8676,,1,,,,Ignatius Nkotongo Shixwameni,APP,7266,,0.8,,,,Usutuaije Maamberua,SWANU,5028,,0.6,,,,Ulenga Benjamin Ulenga,CoD,3518,,0.4,,,,Jan Epafras M Mukwiilongo,NEFF,2514,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS,2014,,Presidential,2014-04-06,IFES,Luis Guillermo Solis Rivera,Citizens' Action Party / Partido Accion Ciudadana (Pac),629866,1314327,30.64,77.81,,,Johnny Francisco Araya Monge,National Liberation Party / Partido Liberacion Nacional (Pln),610634,374844,29.71,22.19,,,Jose Maria Villalta Florez Estrada,Broad Front Party / Partido Frente Amplio (Fa),354479,,17.25,,,,Otto Guevara Guth,Liberation Movement Party / Partido Movimiento Libertario (Pml),233064,,11.34,,,,Rodolfo Piza Rocafort,Social Christian Unity Party / Partido Unidad Social Cristiana (Pusc),123653,,6.02,,,,Jose Miguel Corrales Bolanos,New Fatherland Party / Partido Patria Nueva (Ppn),30816,,1.5,,,,Carlos Luis Avendano Calvo,National Restoration Party / Partido Restauracion Nacional (Pren),27691,,1.35,,,,Justo Orozco Alvarez,Costa Rican Renovation Party / Partido Renovacion Costrricense (Prc),16721,,0,,,,Oscar Andres Lopez Arias,Accessibility Without Exclusion / Partido Accesibilidad Sin Exclusion (Pase),10339,,0,,,,Sergio Mena Diaz,New Generation Party / Partido Nueva Generacion (Png),5882,,0,,,,Hector Enrique Monestel Herrera,Workers Party / Partido De Los Trabajadores,4897,,0,,,,Jose Manuel Echandi Meza,National Advancement Party / Partido Avance Nacional (Pan),4388,,0,,,,Walter Munoz Cespedes,National Integration Party / Partido Integracion Nacional (Pin),3042,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
SLO,2014,,Presidential,2014-03-29,IFES,Andrej Kiska,Independent,455996,1307065,24.01,59.38,,,Robert Fico,Direction – Social Democracy / Smer – sociálna demokracia (Smer-SD),531919,893841,28.01,40.61,,,Radoslav Prochazka,Independent,403548,,21.25,,,,Milan Kňažko,Independent,244401,,12.87,,,,Gyula Bárdos,Party of the Hungarian Coalition / Strana maďarskej koalície – Magyar Koalíció Pártja (SMK-MKP),97035,,5.11,,,,Pavol HruŠOvský,"Christian Democratic Movement / Kresťanskodemokratické hnutie (KDH), Bridge / Most–Híd",63298,,3.33,,,,Helena Mezenská,Ordinary People and Independent Personalities / Obyčajní Ľudia a nezávislé osobnosti (OaĽNO),45180,,2.38,,,,Ján JuriŠTa,Communist Party of Slovakia / Komunistická strana Slovenska (KSS),12209,,0,,,,Ján Čarnogurský,Independent,12207,,0,,,,Viliam Fischer,Independent,9514,,0,,,,Jozef Behýl,Independent,9126,,0,,,,Milan Melnik,Independent,7678,,0,,,,Jozef Šimko,Modern Party of Slovakia / Stranou moderného Slovenska (SMS),4674,,0,,,,Stanislav Martinčko,Coalition of Citizens of Slovakia / Koalícia občanov Slovenska (KOS),2547,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
GNB,2014,,Presidential,2014-05-18,IFES,Jose Mario Vaz,African Party for the Independence of Guinea and Cape Verde / Partido Africano da Independência da Guiné e Cabo Verde (PAIGC),252269,364394,40.98,61.92,,,Nuno Gomes Nabiam,Independent,154784,224089,25.14,38.08,,,Paulo Fernando Gomes,Independent,60783,,9.87,,,,Abel Iamedi Incada,Social Renewal Party / Partido para a Renovação Social (PRS),43293,,7.03,,,,Mamadu Iaia Djalo,New Democracy Party / Partido da Nova Democracia (PND),28068,,4.56,,,,Ibraima Sori Djalo,National Reconciliation Party / Partido da Reconciliação Nacional (PRN),19209,,3.19,,,,Antonio Afonse Te,Republican Party for Independence and Development / Partido Republicano para Independência e Desenvolvimento (PRID),18398,,2.99,,,,Helder Jorge Vaz Gomes Lopes,Independent,8516,,1.38,,,,Domingos Quade,Independent,8432,,1.37,,,,Aregado Mantenque,Workers’ Party / Partido dos Trabalhadores (PT),7105,,1.15,,,,Luis Nancassa,Independent,6815,,1.11,,,,Jorge Malu,Independent,5946,,0,,,,Cirilo Augusto Rodrigues De Oliveira,Socialist Party / Partido Socialista da Guiné-Bissau (PS-GB),2036,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
UKR,2014,,Presidential,2014-05-25,Wiki,Petro Poroshenko,Independent (UDAR),9857308,,55.46,,,,Yulia Tymoshenko,Batkivshchyna,2310050,,13,,,,Oleh Liashko,Radical Party,1500377,,8.44,,,,Anatoliy Hrytsenko,Civil Position,989029,,5.56,,,,Serhiy Tihipko,Independent (Strong Ukraine),943430,,5.31,,,,Mykhailo Dobkin,Party of Regions,546138,,3.07,,,,Vadim Rabinovich,Independent,406301,,2.29,,,,Olha Bohomolets,Independent,345384,,1.94,,,,Petro Symonenko,Communist Party of Ukraine,272723,,1.53,,,,Oleh Tyahnybok,Svoboda,210476,,1.18,,,,Dmytro Yarosh,Right Sector,127772,,0.72,,,,Andriy Hrynenko,Independent,73277,,0.41,,,,Valeriy Konovalyuk,Independent,69572,,0.39,,,,Yuriy Boyko,Independent,35928,,0.2,,,,Mykola Malomuzh,Independent,23771,,0.13,,,,Renat Kuzmin,Independent,18689,,0.11,,,,Vasyl Kuybida,People's Movement of Ukraine,12391,,0.07,,,,Oleksandr Klymenko,Ukrainian People's Party,10542,,0.06,,,,Vasyl Tsushko,Independent,10434,,0.06,,,,Volodymyr Saranov,Independent,6232,,0.04,,,,Zoryan Shkiryak,Independent,5021,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUI,1974,,Presidential,1974-12-27,Wiki,Ahmed Sékou Touré,Democratic Party of Guinea – African Democratic Rally,2432129,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
AUS,1974,,Presidential,1974-06-23,Nohlen,Rudolf Kirchschläger,Sozialdemokratische Partei Österreichs (Social Democratic Party of Austria),2392367,,51.7,,,,Alois Lugger,Österreichische Volkspartei (Austrian People’s Party),2238470,,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,1974,,Presidential,1974-11-03,Wiki,Habib Bourguiba,Socialist Destourian Party,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
DOM,1974,,Presidential,1974-05-16,Nohlen,Joaquín Balaguer,Partido Reformista (Reformist Party),942726,,84.7,,,,Luis Homero Lajara Burgos,Partido Demócrata Popular (Popular Democratic Party),170693,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,1974,,Presidential,1974-09-01,Nohlen,Anastasio Somoza Debayle,Partido Liberal Nacionalista (Nationalist Liberal Party),733662,,91.7,,,,Edmundo Papuagua Irías,Partido Conservador de Nicaragua (Conservative Party of Nicaragua),66320,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRE,1974,,Presidential,1974-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
KEN,1974,,Presidential,1974-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,
COL,1974,,Presidential,1974-04-21,Nohlen,Alfonso López Michelsen,Partido Liberal Colombiano (Colombian Liberal Party),2929719,,56.3,,,,Alvaro Gómez Hurtado,Partido Conservador Colombiano (Colombian Conservative Party),1634879,,31.4,,,,María Eugenia Rojas de Moreno,Alianza Nacional Popular (Popular National Alliance),492166,,9.5,,,,Hernando Echeverri Mejía,Unión Nacional de Oposición (National Opposition Union),137054,,2.6,,,,Hermes Duarte Arias,Partido Demócrata Cristiano (Christian Democratic Party),5718,,0.1,,,,José M. Córdoba,Independent,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COS,1974,,Presidential,1974-02-03,Nohlen,Daniel Oduber Quirós,Partido Liberación Nacional (National Liberation Party),294609,,43.4,,,,Fernando Trejos Escalante,Unificación Nacional,206149,,30.4,,,,Jorge González Martén,P. Nacional Independiente,73788,,10.9,,,,Rodrigo Carazo Odio,Partido Renovación Democrática (Democratic Renovation Party),61820,,9.1,,,,Gerardo W. Villalobos Garita,Partido Demócrata (Democratic Party),18832,,2.8,,,,Manuel Mora Valverde,P. Acción Socialista,16081,,2.4,,,,Jorge Arturo Monge Zamora,Partido Democrático Cristiano (Christian Democratic Party),3461,,0.5,,,,José Francisco Aguilar Bulgarelli,P. Socialista Costarricense,3417,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRN,1974,,Presidential,1974-05-19,Nohlen,Valéry Giscard d'Estaing,"Republicans, CD",8326774,13396203,32.6,50.8,,,François Mitterand,"Parti Socialist (Socialist Party),Parti Communist Français (French Communist Party),Parti Socialist Unitié (United Socialist Party),+Mouvement des Radicaux de Gauche (Movement of Leftist Radicals)",11044373,12971604,43.2,49.2,,,Jacques Chaban-Delmas,"Union des Démocrates pour la Vième République (Union of the Democrats for the Fifth Republic),Centre Démocratie et Progrès (Democratic and Progressive Centre)",3857728,,15.1,,,,Jean Royerd,Independent,810540,,3.2,,,,Arlette Laguillere,Lutte Ouvrière (Workers’ Struggle),595247,,2.3,,,,René Dumont,Ecologists,337800,,1.3,,,,Jean-Marie Le Pen,Front National (National Front),190921,,0.7,,,,Émile Muller,Mouvement Démocrate Socialiste de France (Democratic Socialist Movement of France),176279,,0.7,,,,Alain Krivine,Front Communiste Revolutionnaire (Communist Revolutionary Front),93990,,0.4,,,,Bertrand Renouvin,Nouvelle Action Francaise (New French Action),43722,,0.2,,,,Jean-Claude Sebag,(Groupe) Féderaliste Européenne (European Federalist),42007,,0.2,,,,Guy Héraud,(Groupe) Féderaliste Européenne (European Federalist),19255,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,
SAL,1872,,Presidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,1872,,Presidential,1872-11-05,USA,Ulysses S. Grant,Republican,3598235,,55.93,,286,81.25,Thomas A. Hendricks,Democrat,,,,,42,11.93,B. Gratz Brown,,,,,,18,5.11,Charles J. Jenkins,,,,,,2,0.57,David Davis,,,,,,1,0.28,Horace Greeley,Democrat-Liberal Republican,2834761,,44.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
USA,1836,,Presidential,1836-11-04,USA,Martin Van Buren,Democrat,764176,,58.11,,170,57.82,William Henry Harrison,Whig,550816,,41.89,,73,24.83,Hugh L. White,,,,,,26,8.84,Daniel Webster,,,,,,14,4.76,William P. Mangum,,,,,,11,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
